Id   TradeDate   HighPrice   LowPrice   ClosePrice   OpenPrice   Volume
Security_0   12/13/2006   67.2   60.76   62.72   64   1424725838
Security_1   12/13/2006   42.51   35.88   39.78   39   1768480802
Security_2   12/13/2006   85.68   78.12   84   84   2018470390
Security_3   12/13/2006   64.64   59.85   63.36   64   486688985
Security_4   12/13/2006   55.62   47.84   52.92   54   1904965103
Security_5   12/13/2006   20.4   19.4   20.2   20   1881107877
Security_6   12/13/2006   101.85   87.36   97.92   96   203361113
Security_7   12/13/2006   75.6   66.24   70.38   69   425772992
Security_8   12/13/2006   59.92   55   55.44   56   1152365942
Security_9   12/13/2006   78.28   68.25   75.24   76   1694553051
Security_10   12/13/2006   49.05   44.1   45.9   45   2057821023
Security_11   12/13/2006   95.4   86.33   90.78   89   1662562685
Security_12   12/13/2006   92.56   84.48   89.76   88   1297506326
Security_13   12/13/2006   56.7   50.76   54.54   54   1818248702
Security_14   12/13/2006   61.04   53.35   56.65   55   717896382
Security_15   12/13/2006   93.84   85.56   92   92   856373476
Security_16   12/13/2006   27.81   25.74   26.46   27   220352654
Security_17   12/13/2006   18.72   17.1   18   18   804187044
Security_18   12/13/2006   84   76   80.8   80   1408305120
Security_19   12/13/2006   56.7   47.84   52.92   54   349937802
Security_20   12/13/2006   90.78   82.77   89.89   89   213731889
Security_21   12/13/2006   20.14   17.67   19.57   19   654196891
Security_22   12/13/2006   16   14.56   16.48   16   1185950354
Security_23   12/13/2006   79.57   67.68   72.27   73   614157070
Security_24   12/13/2006   38.38   36.48   38.38   38   852374295
Security_25   12/13/2006   58.24   52.08   56.56   56   932269482
Security_26   12/13/2006   24.84   20.68   22.77   23   913435513
Security_27   12/13/2006   13.52   12.61   13.26   13   173908397
Security_28   12/13/2006   17.34   15.52   16.83   17   1528136317
Security_29   12/13/2006   74.74   72.52   74.74   74   864760613
Security_30   12/13/2006   30.45   29   29.58   29   1525062579
Security_31   12/13/2006   75.92   69.12   73.44   72   770383438
Security_32   12/13/2006   1.08   0.95   1   1   1256583220
Security_33   12/13/2006   17.68   15.81   17.51   17   1678025296
Security_34   12/13/2006   6.24   5.82   6   6   1842185219
Security_35   12/13/2006   22.89   21   21.21   21   2127814203
Security_36   12/13/2006   93.28   84.48   88.88   88   2103319771
Security_37   12/13/2006   7.07   6.65   7.07   7   2029740867
Security_38   12/13/2006   47.94   41.86   47.38   46   19528150
Security_39   12/13/2006   39.9   35.52   37.62   38   1134407048
Security_0   12/14/2006   63.63   58.28   63.9744   62.72   1367736804
Security_1   12/14/2006   39.78   36.86   38.9844   39.78   1750795993
Security_2   12/14/2006   91.56   74.62   82.32   84   2200132725
Security_3   12/14/2006   64.89   58.9   62.0928   63.36   515890324
Security_4   12/14/2006   54.6   47.84   52.3908   52.92   1962114056
Security_5   12/14/2006   21.6   19.4   20.604   20.2   1787052483
Security_6   12/14/2006   100.88   88.32   96.9408   97.92   189125835
Security_7   12/14/2006   74.55   70   71.0838   70.38   421515262
Security_8   12/14/2006   59.92   50.6   56.5488   55.44   1117794963
Security_9   12/14/2006   79.5   68.25   75.9924   75.24   1558988806
Security_10   12/14/2006   46.46   42.3   46.359   45.9   1913773551
Security_11   12/14/2006   95.68   84.6   92.5956   90.78   1579434550
Security_12   12/14/2006   92   84.55   92.4528   89.76   1388331768
Security_13   12/14/2006   58.3   50.22   55.0854   54.54   1654606318
Security_14   12/14/2006   58.8   53.9   55.517   56.65   739433273
Security_15   12/14/2006   95.68   86.48   92   92   890628415
Security_16   12/14/2006   27.56   26   26.7246   26.46   218149127
