Id   TradeDate   HighPrice   LowPrice   ClosePrice   OpenPrice   Volume
Security_0   12/6/2006   78.75   75   75   75   1716575433
Security_1   12/6/2006   69.68   62.98   67   67   190931991
Security_2   12/6/2006   36.04   32.01   33.66   34   1376541906
Security_3   12/6/2006   46.01   41.71   43   43   1001003073
Security_4   12/6/2006   61.36   55.46   59   59   1604824314
Security_5   12/6/2006   26   23   25   25   865390231
Security_6   12/6/2006   75.6   69.12   72.72   72   547028273
Security_7   12/6/2006   20.52   17.82   18.62   19   529898001
Security_8   12/6/2006   64.66   59.17   61   61   228528554
Security_9   12/6/2006   81.12   73.92   78.54   77   1314867425
Security_10   12/6/2006   7.14   6.93   7.14   7   924230890
Security_11   12/6/2006   39.39   38.22   39.39   39   2090558906
Security_12   12/6/2006   70.85   60.48   63.7   65   588836342
Security_13   12/6/2006   1.04   0.95   1   1   1354219010
Security_14   12/6/2006   41.82   38.13   41.82   41   1588213
Security_15   12/6/2006   5.4   3.96   4.9   5   304713189
Security_16   12/6/2006   103.68   94   96.82   94   56424259
Security_17   12/6/2006   59.36   53.35   56.1   55   115062215
Security_18   12/6/2006   48.3   46   46.92   46   859518367
Security_19   12/6/2006   73.83   64.86   69   69   1070284586
Security_20   12/6/2006   82.16   74.26   79.79   79   1319797462
Security_21   12/6/2006   19.19   18.05   19.38   19   846214230
Security_22   12/6/2006   34.56   29.14   31.68   32   1740216377
Security_23   12/6/2006   50.5   49.5   50.5   50   1746301644
Security_24   12/6/2006   31.2   28.2   30   30   1353100290
Security_25   12/6/2006   54.59   49.92   52.47   53   2089206313
Security_26   12/6/2006   9.36   8.28   9   9   49991244
Security_27   12/6/2006   54.59   47.84   52.47   53   957599016
Security_28   12/6/2006   94.76   87.4   92.92   92   1339368685
Security_29   12/6/2006   81   77.42   79.38   81   26233015
Security_0   12/7/2006   79.5   67.16   73.5   75   1819569958
Security_1   12/7/2006   72.08   60.97   68.34   67   173748111
Security_2   12/7/2006   33   29.12   32.9868   33.66   1472899839
Security_3   12/7/2006   46.01   39.99   43   43   990993042
Security_4   12/7/2006   61.36   53.69   59   59   1749258502
Security_5   12/7/2006   25   23.76   24.75   25   934621449
Security_6   12/7/2006   78.84   69.12   73.4472   72.72   547028273
Security_7   12/7/2006   19.95   16.74   19.1786   18.62   561691881
Security_8   12/7/2006   65.88   56.64   59.78   61   223957982
Security_9   12/7/2006   80.34   70.68   76.9692   78.54   1433205493
Security_10   12/7/2006   7.63   6.44   7.0686   7.14   1007411670
Security_11   12/7/2006   40   39   40.5717   39.39   2153275673
Security_12   12/7/2006   69.76   63   64.337   63.7   535841071
Security_13   12/7/2006   1.02   0.97   1   1   1394845580
Security_14   12/7/2006   42.42   39.77   42.2382   41.82   1572330
Security_15   12/7/2006   4.08   3.88   4.949   4.9   280336133
Security_16   12/7/2006   99.84   93.12   96.82   96.82   57552744
Security_17   12/7/2006   59.85   50.96   57.222   56.1   123116570
Security_18   12/7/2006   46.46   43.7   46.92   46.92   790756897
Security_19   12/7/2006   73.14   63.48   69.69   69   984661819
Security_20   12/7/2006   82.95   71.89   79.79   79.79   1412183284
Security_21   12/7/2006   20.52   18.24   19.7676   19.38   888524941
Security_22   12/7/2006   32.55   28.83   31.68   31.68   1827227195
Security_23   12/7/2006   52.5   44.59   49.995   50.5   1589134496
Security_24   12/7/2006   32.7   29.7   30   30   1285445275
Security_25   12/7/2006   56.16   47.84   52.47   52.47   2151882502
Security_26   12/7/2006   9.81   7.84   8.82   9   48491506
Security_27   12/7/2006   56.16   48.45   51.4206   52.47   919295055
Security_28   12/7/2006   97.52   89.18   91.0616   92.92   1419730806
Security_29   12/7/2006   81.37   74.88   78.5862   79.38   27544665
Security_0   12/8/2006   75.92   73   73.5   73.5   1746787159
Security_1   12/8/2006   69.36   64.6   68.34   68.34   165060705
Security_2   12/8/2006   33.33   31.68   33.3167   32.9868   1517086834
Security_3   12/8/2006   46.87   39.99   43   43   1060362554
Security_4   12/8/2006   60.18   57.23   59.59   59   1626810406
Security_5   12/8/2006   26   23.76   25.245   24.75   906582805
Security_6   12/8/2006   75.19   69.35   73.4472   73.4472   541557990
Security_7   12/8/2006   20.33   18.43   19.5622   19.1786   516756530
Security_8   12/8/2006   62.54   56.26   58.5844   59.78   203801763
Security_9   12/8/2006   80.08   72.2   77.7389   76.9692   1519197822
Security_10   12/8/2006   7.49   5.94   6.99791   7.0686   1027559903
Security_11   12/8/2006   42.23   38.8   41.7889   40.5717   2110210159
Security_12   12/8/2006   67.6   59.52   65.6237   64.337   546557892
Security_13   12/8/2006   1.07   0.93   1.01   1   1408794035
Security_14   12/8/2006   45.78   38.13   41.8158   42.2382   1446543
Security_15   12/8/2006   4.32   3.88   4.89951   4.949   260712603
Security_16   12/8/2006   97.92   96   96.82   96.82   56977216
Security_17   12/8/2006   58.71   53.01   57.222   57.222   115729575
Security_18   12/8/2006   49.22   44.62   46.4508   46.92   806572034
Security_19   12/8/2006   75.21   62.56   68.9931   69.69   994508437
Security_20   12/8/2006   80   77.42   80.5879   79.79   1426305116
Security_21   12/8/2006   19.76   18.43   19.5699   19.7676   888524941
Security_22   12/8/2006   33.17   28.83   31.0464   31.68   1863771738
Security_23   12/8/2006   52.5   46.06   50.4949   49.995   1684482565
Security_24   12/8/2006   30   28.2   30.9   30   1401135349
Security_25   12/8/2006   56.68   49.47   51.9453   52.47   2065807201
Security_26   12/8/2006   8   7.76   8.7318   8.82   48006590
Security_27   12/8/2006   52.02   48   50.3922   51.4206   928488005
Security_28   12/8/2006   94.86   87.36   93.7934   91.0616   1476520038
Security_29   12/8/2006   84.24   72.54   78.5862   78.5862   26442878
Security_0   12/11/2006   78.84   66.96   72.03   73.5   1799190773
Security_1   12/11/2006   70.72   63.65   67.6566   68.34   153506455
Security_2   12/11/2006   34.32   30.4   32.6503   33.3167   1456403360
Security_3   12/11/2006   44.44   43   44.29   43   1070966179
Security_4   12/11/2006   61.61   58.41   61.3777   59.59   1496665573
Security_5   12/11/2006   25.5   22.08   24.9926   25.245   843122008
Security_6   12/11/2006   77.7   69.35   74.1817   73.4472   530726830
Security_7   12/11/2006   19.95   17.86   19.9534   19.5622   537426791
Security_8   12/11/2006   61.36   53.36   59.1702   58.5844   216029868
Security_9   12/11/2006   78.78   76.23   78.5163   77.7389   1579965734
Security_10   12/11/2006   6.24   5.58   6.99791   6.99791   1078937898
Security_11   12/11/2006   42.23   39.77   41.371   41.7889   1941393346
Security_12   12/11/2006   66   64.35   66.28   65.6237   519229997
Security_13   12/11/2006   1.04   0   0.9999   1.01   1310178452
Security_14   12/11/2006   46.44   37.31   43.0703   41.8158   1403146
Security_15   12/11/2006   4.04   3.8   4.89951   4.89951   247676972
Security_16   12/11/2006   96   90.25   95.8518   96.82   51279494
Security_17   12/11/2006   60.99   51.52   56.6498   57.222   113414983
Security_18   12/11/2006   47   44.16   47.3798   46.4508   806572034
Security_19   12/11/2006   73.44   67   67.6132   68.9931   944783015
Security_20   12/11/2006   83   76   83.0055   80.5879   1454831218
Security_21   12/11/2006   19.76   17.48   19.7656   19.5699   844098693
Security_22   12/11/2006   33.17   29.14   31.6673   31.0464   1975598042
Security_23   12/11/2006   50   47.04   49.99   50.4949   1751861867
Security_24   12/11/2006   32.55   29.1   31.209   30.9   1415146702
Security_25   12/11/2006   53.56   51   52.9842   51.9453   2107123345
Security_26   12/11/2006   8.56   7.28   8.64448   8.7318   48486655
Security_27   12/11/2006   51.5   46   50.3922   50.3922   872778724
Security_28   12/11/2006   98.58   84.63   93.7934   93.7934   1579876440
Security_29   12/11/2006   81.37   75.66   79.3721   78.5862   26442878
Security_0   12/12/2006   74.16   69.3   70.5894   72.03   1709231234
Security_1   12/12/2006   74.12   64.99   68.3332   67.6566   165786971
Security_2   12/12/2006   32.64   29.44   32.6503   32.6503   1383583192
Security_3   12/12/2006   47.96   43.56   44.29   44.29   1092385502
Security_4   12/12/2006   64.66   57   60.1501   61.3777   1526598884
Security_5   12/12/2006   24.96   23.52   24.9926   24.9926   809397127
Security_6   12/12/2006   79.92   68.82   74.1817   74.1817   477654147
Security_7   12/12/2006   20.33   17.48   19.5543   19.9534   548175326
Security_8   12/12/2006   60   54.87   60.9454   59.1702   211709270
Security_9   12/12/2006   80.34   74.69   77.7311   78.5163   1722162650
Security_10   12/12/2006   6.24   5.82   6.85796   6.99791   1068148519
Security_11   12/12/2006   42.64   38.13   41.7847   41.371   1883151545
Security_12   12/12/2006   69.96   59.52   64.9544   66.28   555576096
Security_13   12/12/2006   0   0   0.979902   0.9999   1244669529
Security_14   12/12/2006   44.72   41.71   43.0703   43.0703   1332988
Security_15   12/12/2006   4.24   4   4.94851   4.89951   222909274
Security_16   12/12/2006   97.85   90.24   94.8933   95.8518   51792288
Security_17   12/12/2006   60.42   52.64   57.7828   56.6498   115683282
Security_18   12/12/2006   47.94   45.54   46.906   47.3798   830769195
Security_19   12/12/2006   68   64.32   68.2894   67.6132   869200373
Security_20   12/12/2006   85.49   79.38   81.3454   83.0055   1323896408
Security_21   12/12/2006   20.71   18.81   19.9633   19.7656   768129810
Security_22   12/12/2006   33.79   30.07   31.3507   31.6673   1975598042
Security_23   12/12/2006   49.49   48   48.9902   49.99   1664268773
Security_24   12/12/2006   33.79   28.21   31.5211   31.209   1457601103
Security_25   12/12/2006   52   49.4   52.9842   52.9842   2043909644
Security_26   12/12/2006   8.08   7.6   8.90382   8.64448   49456388
Security_27   12/12/2006   53   48.51   49.3843   50.3922   829139787
Security_28   12/12/2006   97.65   84.64   92.8555   93.7934   1485083853
Security_29   12/12/2006   81.37   74.69   77.7846   79.3721   28029450
Security_0   12/13/2006   73.5   65.8   70.5894   70.5894   1538308110
Security_1   12/13/2006   73.44   63.65   67.6498   68.3332   177392058
Security_2   12/13/2006   32   31.68   32.9768   32.6503   1342075696
Security_3   12/13/2006   47.52   42.68   44.29   44.29   1037766226
Security_4   12/13/2006   60.6   54.6   60.1501   60.1501   1480800917
Security_5   12/13/2006   24   23.76   24.7426   24.9926   809397127
Security_6   12/13/2006   77.7   65.52   72.698   74.1817   448994898
Security_7   12/13/2006   20.71   19   19.3588   19.5543   592029352
Security_8   12/13/2006   61.61   55.2   61.5548   60.9454   218060548
Security_9   12/13/2006   81.6   71.61   80.0631   77.7311   1653276144
Security_10   12/13/2006   6.06   5.82   6.78938   6.85796   1057467033
Security_11   12/13/2006   42.23   38   40.949   41.7847   1883151545
Security_12   12/13/2006   66.95   61.44   65.6039   64.9544   572243378
Security_13   12/13/2006   0   0   0.989701   0.979902   1219776138
Security_14   12/13/2006   45.58   41.71   43.501   43.0703   1213019
Security_15   12/13/2006   5.35   3.72   5.04748   4.94851   200618346
Security_16   12/13/2006   97.92   93.06   96.7911   94.8933   47130982
Security_17   12/13/2006   62.06   53.01   58.9384   57.7828   120310613
Security_18   12/13/2006   50.76   43.24   47.3751   46.906   905538422
Security_19   12/13/2006   74.2   64.6   70.3381   68.2894   912660391
Security_20   12/13/2006   85.86   76.8   80.532   81.3454   1217984695
Security_21   12/13/2006   20.4   18.05   20.3625   19.9633   691316829
Security_22   12/13/2006   31   28.83   31.3507   31.3507   1936086081
Security_23   12/13/2006   48   47.52   48.5003   48.9902   1581055334
Security_24   12/13/2006   31   31   31.5211   31.5211   1311840992
Security_25   12/13/2006   54.54   51.48   54.5737   52.9842   1880396872
Security_26   12/13/2006   8.24   7.84   8.81478   8.90382   52423771
Security_27   12/13/2006   51.94   44.64   48.3967   49.3843   870596776
Security_28   12/13/2006   92.92   86.48   92.8555   92.8555   1559338045
Security_29   12/13/2006   78.54   76.23   77.0068   77.7846   25506799
Security_0   12/14/2006   71.4   66.5   70.5894   70.5894   1476775785
Security_1   12/14/2006   69.01   60.72   66.2968   67.6498   180939899
Security_2   12/14/2006   33.6   30.4   32.6471   32.9768   1395758723
Security_3   12/14/2006   44   39.56   43.8471   44.29   1017010901
Security_4   12/14/2006   63   52.78   58.9471   60.1501   1332720825
Security_5   12/14/2006   25.92   23.76   24.9901   24.7426   752739328
Security_6   12/14/2006   74.16   66.96   72.698   72.698   489404438
Security_7   12/14/2006   19.95   18.81   19.5524   19.3588   603869939
Security_8   12/14/2006   65.27   57.6   60.9393   61.5548   220241153
Security_9   12/14/2006   83.2   74.4   80.0631   80.0631   1504481291
Security_10   12/14/2006   6.24   5.82   6.78938   6.78938   1120915054
Security_11   12/14/2006   42.4   37.2   40.13   40.949   2033803668
Security_12   12/14/2006   67.32   63.7   66.916   65.6039   543631209
Security_13   12/14/2006   0   0   0.969907   0.989701   1109996285
Security_14   12/14/2006   46.01   39.99   43.066   43.501   1237279
Security_15   12/14/2006   5.25   3.84   4.94653   5.04748   194599795
Security_16   12/14/2006   101.97   89.28   99.6949   96.7911   49016221
Security_17   12/14/2006   64.8   52.78   60.7066   58.9384   127529249
Security_18   12/14/2006   50.76   44.18   47.3751   47.3751   851206116
Security_19   12/14/2006   72.72   64.4   72.4482   70.3381   921786994
Security_20   12/14/2006   86.4   75.66   78.9213   80.532   1278883929
Security_21   12/14/2006   20   19.2   20.9734   20.3625   712056333
Security_22   12/14/2006   33.6   31   32.2912   31.3507   1742477472
Security_23   12/14/2006   51.36   48   48.5003   48.5003   1707539760
Security_24   12/14/2006   31   29.4   30.8907   31.5211   1193775302
Security_25   12/14/2006   58.3   51.84   55.6652   54.5737   1748769090
Security_26   12/14/2006   8   7.92   8.63848   8.81478   49278344
Security_27   12/14/2006   51.84   43.24   47.4287   48.3967   896714679
Security_28   12/14/2006   96.6   87.4   92.8555   92.8555   1465777762
Security_29   12/14/2006   77.77   76.23   77.0068   77.0068   24741595
Security_0   12/15/2006   75.26   65.1   71.2953   70.5894   1462008027
Security_1   12/15/2006   69.96   60.16   64.9709   66.2968   180939899
Security_2   12/15/2006   33.28   30.38   31.9941   32.6471   1451589071
Security_3   12/15/2006   47.7   39.56   45.1625   43.8471   945820137
Security_4   12/15/2006   61.48   53.58   57.7682   58.9471   1319393616
Security_5   12/15/2006   25.2   22.32   24.9901   24.9901   797903687
Security_6   12/15/2006   74.74   72   74.152   72.698   504086571
Security_7   12/15/2006   19.19   17.29   19.5524   19.5524   549521644
Security_8   12/15/2006   60.6   58.8   60.3299   60.9393   240062856
Security_9   12/15/2006   84.24   78.4   81.6643   80.0631   1579705355
Security_10   12/15/2006   6.12   5.88   6.65359   6.78938   1143333355
Security_11   12/15/2006   42   37.05   39.7287   40.13   1891437411
Security_12   12/15/2006   66   65.34   66.2468   66.916   521885960
Security_13   12/15/2006   0   0   0.989305   0.969907   1154396136
Security_14   12/15/2006   45.58   39.56   43.4966   43.066   1175415
Security_15   12/15/2006   5.1   3.68   5.09492   4.94653   210167778
Security_16   12/15/2006   105.04   99   101.689   99.6949   52447356
Security_17   12/15/2006   65.1   58.8   62.5278   60.7066   122428079
Security_18   12/15/2006   47   45.59   47.8488   47.3751   919302605
Security_19   12/15/2006   72.72   72   72.4482   72.4482   977094213
Security_20   12/15/2006   79   74.1   79.7105   78.9213   1342828125
Security_21   12/15/2006   21.63   19.6   21.1832   20.9734   683574079
Security_22   12/15/2006   32.64   29.76   32.937   32.2912   1847026120
Security_23   12/15/2006   50.96   45.12   49.9553   48.5003   1553861181
Security_24   12/15/2006   31.62   28.8   31.5085   30.8907   1301215079
Security_25   12/15/2006   58.24   53.9   56.7785   55.6652   1643842944
Security_26   12/15/2006   8.08   7.28   8.63848   8.63848   49771127
Security_27   12/15/2006   48.88   44.62   46.4801   47.4287   851878945
Security_28   12/15/2006   98.44   86.45   91.927   92.8555   1524408872
Security_29   12/15/2006   77   72.96   76.2367   77.0068   25978674
Security_0   12/18/2006   75.6   66.74   72.0082   71.2953   1374287545
Security_1   12/18/2006   66.95   60.8   65.6206   64.9709   186368095
Security_2   12/18/2006   31   29.45   31.6742   31.9941   1437073180
Security_3   12/18/2006   48.6   40.95   45.6141   45.1625   1002569345
Security_4   12/18/2006   60.42   56.43   57.7682   57.7682   1187454254
Security_5   12/18/2006   26.75   23.04   25.7398   24.9901   789924650
Security_6   12/18/2006   81   68.08   75.635   74.152   499045705
Security_7   12/18/2006   20   17.86   20.139   19.5524   560512076
Security_8   12/18/2006   60.6   57.23   59.7266   60.3299   228059713
Security_9   12/18/2006   87.74   73.71   82.481   81.6643   1421734819
Security_10   12/18/2006   6.24   5.7   6.65359   6.65359   1143333355
Security_11   12/18/2006   40.4   38.22   40.9206   39.7287   2023838029
Security_12   12/18/2006   66.66   64.68   66.9093   66.2468   537542538
Security_13   12/18/2006   0   0   0.999198   0.989305   1050500483
Security_14   12/18/2006   47.08   42.57   44.3666   43.4966   1104890
Security_15   12/18/2006   5.15   4.65   5.24777   5.09492   214371133
Security_16   12/18/2006   109.08   98   100.672   101.689   53496303
Security_17   12/18/2006   63.63   56.42   63.1531   62.5278   124876640
Security_18   12/18/2006   49.82   42.77   47.3703   47.8488   827372344
Security_19   12/18/2006   72.72   70.56   72.4482   72.4482   1016177981
Security_20   12/18/2006   81.37   74.88   78.1163   79.7105   1369684687
Security_21   12/18/2006   22.47   19.4   20.7595   21.1832   642559634
Security_22   12/18/2006   35.97   32   33.9251   32.937   1717734291
Security_23   12/18/2006   49.49   46.06   49.9553   49.9553   1445090898
Security_24   12/18/2006   34.56   31   32.1387   31.5085   1262178626
Security_25   12/18/2006   61.56   52.64   57.9141   56.7785   1528773937
Security_26   12/18/2006   8.32   7.6   8.5521   8.63848   45789436
Security_27   12/18/2006   47.94   42.78   47.4098   46.4801   834841366
Security_28   12/18/2006   99.36   83.72   92.8462   91.927   1478676605
Security_29   12/18/2006   81.32   73.72   76.2367   76.2367   28316754
Security_0   12/19/2006   74.16   69.12   72.0082   72.0082   1484230548
Security_1   12/19/2006   70.62   59.8   66.933   65.6206   180777052
Security_2   12/19/2006   34.56   29.45   32.3077   31.6742   1537668302
Security_3   12/19/2006   46.92   44.1   46.0703   45.6141   1072749199
Security_4   12/19/2006   62.54   57   59.5012   57.7682   1128081541
Security_5   12/19/2006   25.5   23.5   25.225   25.7398   774126157
Security_6   12/19/2006   78.75   70.3   74.1223   75.635   533978904
Security_7   12/19/2006   21.2   18.81   19.9376   20.139   532486472
Security_8   12/19/2006   63   57.23   60.9211   59.7266   237182101
Security_9   12/19/2006   82   75.44   82.481   82.481   1307996033
Security_10   12/19/2006   6.36   5.76   6.52052   6.65359   1189066689
Security_11   12/19/2006   42.64   37.6   41.3298   40.9206   2023838029
Security_12   12/19/2006   68   60.72   68.2475   66.9093   537542538
Security_13   12/19/2006   1.02   0   1.02917   0.999198   1113530511
Security_14   12/19/2006   44.44   41.71   43.4792   44.3666   1171183
Security_15   12/19/2006   5.4   4.75   5.14281   5.24777   201508865
Security_16   12/19/2006   108   100   100.672   100.672   52426376
Security_17   12/19/2006   65.28   59.22   64.4161   63.1531   134866771
Security_18   12/19/2006   48.41   45.12   47.844   47.3703   843919790
Security_19   12/19/2006   78.48   69.84   72.4482   72.4482   975530861
Security_20   12/19/2006   78   70.07   77.3352   78.1163   1492956308
Security_21   12/19/2006   22.05   19.2   21.1747   20.7595   610431652
Security_22   12/19/2006   34.34   31.02   34.6036   33.9251   1872330377
Security_23   12/19/2006   51.45   47.04   49.4558   49.9553   1575149078
Security_24   12/19/2006   32.96   30.07   31.8173   32.1387   1199069694
Security_25   12/19/2006   60.42   54.32   56.7558   57.9141   1559349415
Security_26   12/19/2006   8.64   8   8.46658   8.5521   48994696
Security_27   12/19/2006   50.88   46.06   48.3579   47.4098   768054056
Security_28   12/19/2006   93.84   82.8   90.9893   92.8462   1360382476
Security_29   12/19/2006   79.04   67.34   74.712   76.2367   30015759
Security_0   12/20/2006   75.48   69.12   74.1685   72.0082   1395176715
