Id   Ex   SIC   SPR   Cu
Security_0   TK  MEDICAL   CC   JPY
Security_1   NY   COMPUTERS   A   DEM 
Security_2   NY   BANKING   B   USD 
Security_3   O   MEDICAL   AAA   DEM
Security_4   O    BANKING   C   DEM
Security_5   AM    ENTERTAINMENT   B   GBP 
Security_6   NY    PHARMACEUTICALS   CCC   DEM 
Security_7   LN     BANKING   CC   JPY 
Security_8   TK     SOFTWARE   BB   DEM
Security_9   AM     SOFTWARE   BBB   FFR
Security_10   NY    MEDICAL   AA   DEM 
Security_11   NY      SOFTWARE   CCC   GBP
Security_12   LN     CHEMICALS   B   FFR 
Security_13   TK     FINANCIAL   BB   GBP
Security_14   O     PHARMACEUTICALS   AAA
Security_15   AM     CONSTRUCTION   B 
Security_16   AM     MEDICAL   CCC   DEM
Security_17   TK     FINANCIAL   C   USD
Security_18   LN      CHEMICALS   B   FFR
Security_19   TK     BANKING   BBB   JPY
Security_20   LN      MEDICAL   C   GBP
Security_21   AM     ENTERTAINMENT   C   FFR 
Security_22   TK    CONSTRUCTION   AA   DEM
Security_23   O     INDUSTRIAL   CC   USD 
Security_24   NY     MEDICAL   CC   USD 
Security_25   TK    INDUSTRIAL   AAA   JPY 
Security_26   O      ENTERTAINMENT   CCC   USD
Security_27   AM    MEDICAL   AA   JPY 
Security_28   AM    SOFTWARE   AA   GBP
Security_29   NY     COMPUTERS   CCC   DEM
Security_30   AM     SOFTWARE   C   USD
Security_31   AM    MEDICAL   BB   FFR 
Security_32   AM    INDUSTRIAL   CCC   DEM
Security_33   LN   SOFTWARE   CC   USD
Security_34   NY      CONSTRUCTION   CC   GBP 
Security_35   O      FINANCIAL   A   GBP
Security_36   NY    COMPUTERS   BB   JPY 
Security_37   AM     INDUSTRIAL   BBB   DEM 
Security_38   NY     CONSTRUCTION   CCC   FFR 
Security_39   O      ENTERTAINMENT   A   FFR
