Id   Ex   SIC   SPR   Currency
Security_0   O      MEDICAL   B   USD
Security_1   AM      BANKING   AAA   FFR
Security_2   LN      MEDICAL   B   USD
Security_3   LN      ENTERTAINMENT   B   GBP
Security_4   AM      BANKING   CCC   USD
Security_5   LN      MEDICAL   BB   GBP
Security_6   O      MEDICAL   CCC   JPY
Security_7   AM      ENTERTAINMENT   CCC   FFR
Security_8   O      CHEMICALS   C   FFR
Security_9   AM      INDUSTRIAL   BBB   DEM
Security_10   LN      COMPUTERS   BB   FFR
Security_11   LN      PHARMACEUTICALS   AAA   FFR
Security_12   O      COMPUTERS   C   DEM
Security_13   NY      CONSTRUCTION   A   DEM
Security_14   TK      SOFTWARE   CC   DEM
Security_15   AM      SOFTWARE   C   FFR
Security_16   LN      INDUSTRIAL   B   JPY
Security_17   O      ENTERTAINMENT   B   JPY
Security_18   TK      CONSTRUCTION   B   GBP
Security_19   NY      MEDICAL   AA   FFR
Security_20   AM      INDUSTRIAL   BB   JPY
Security_21   AM      CONSTRUCTION   CC   GBP
Security_22   LN      BANKING   AAA   FFR
Security_23   NY      CONSTRUCTION   A   USD
Security_24   TK      SOFTWARE   BB   FFR
Security_25   AM      COMPUTERS   AAA   DEM
Security_26   O      CONSTRUCTION   B   FFR
Security_27   NY      SOFTWARE   AAA   JPY
Security_28   NY      BANKING   C   USD
Security_29   LN      SOFTWARE   CCC   DEM
